Date,Ticker,Action,Price,Shares
2024-03-15,HDFCBANK.NS,BUY,705.6943359375,795
2024-03-18,BPCL.NS,SELL,261.51373291015625,2140
2024-03-18,HDFCBANK.NS,SELL,704.2342529296875,795
2024-03-18,BEL.NS,BUY,186.544189453125,2990
2024-03-18,ONGC.NS,BUY,233.2812957763672,2391
2024-03-19,BEL.NS,SELL,186.544189453125,2990
2024-03-19,ONGC.NS,SELL,236.02894592285156,2391
2024-03-19,BPCL.NS,BUY,258.63751220703125,2160
2024-03-19,HDFCBANK.NS,BUY,698.6373291015625,799
2024-03-20,BPCL.NS,SELL,250.16493225097656,2160
2024-03-20,HDFCBANK.NS,SELL,705.23193359375,799
2024-03-20,BEL.NS,BUY,183.50057983398438,2997
2024-03-20,ONGC.NS,BUY,233.7317352294922,2353
2024-03-21,BEL.NS,SELL,186.54420471191406,2997
2024-03-21,ONGC.NS,SELL,238.46133422851562,2353
2024-03-21,BPCL.NS,BUY,255.96194458007812,2179
2024-03-21,HDFCBANK.NS,BUY,702.0928344726562,794
2024-03-22,BPCL.NS,SELL,262.65087890625,2179
2024-03-22,HDFCBANK.NS,SELL,701.3141479492188,794
2024-03-22,POWERGRID.NS,SELL,256.18389892578125,2151
2024-03-22,ONGC.NS,BUY,236.88478088378906,7067
2024-03-26,ONGC.NS,SELL,235.71365356445312,7067
2024-03-26,HDFCBANK.NS,BUY,694.5977783203125,2388
2024-03-27,HDFCBANK.NS,SELL,692.821533203125,2388
2024-03-27,BPCL.NS,BUY,269.7856750488281,2036
2024-03-27,ONGC.NS,BUY,238.7315673828125,2301
2024-03-27,WIPRO.NS,BUY,224.83554077148438,2444
2024-03-28,BPCL.NS,SELL,267.9574279785156,2036
2024-03-28,ONGC.NS,SELL,236.43435668945312,2301
2024-03-28,HDFCBANK.NS,BUY,701.1681518554688,1548
2024-04-01,HDFCBANK.NS,SELL,709.5878295898438,1548
2024-04-01,BPCL.NS,BUY,268.8938293457031,2034
2024-04-01,ONGC.NS,BUY,241.4792022705078,2265
2024-04-02,ADANIPORTS.NS,SELL,1385.0897216796875,1087
2024-04-02,BPCL.NS,SELL,269.7856750488281,2034
2024-04-02,ONGC.NS,SELL,243.32603454589844,2265
2024-04-02,WIPRO.NS,SELL,225.89013671875,2444
2024-04-03,BEL.NS,BUY,218.44442749023438,4799
2024-04-03,BPCL.NS,BUY,273.35308837890625,3835
2024-04-03,ONGC.NS,BUY,247.7853240966797,4231
2024-04-04,BEL.NS,SELL,220.2179718017578,4799
2024-04-04,BPCL.NS,SELL,273.7990417480469,3835
2024-04-04,ONGC.NS,SELL,251.0284881591797,4231
2024-04-05,BPCL.NS,BUY,264.6798095703125,11926
2024-04-08,BPCL.NS,SELL,265.7500915527344,11926
2024-04-10,APOLLOHOSP.NS,SELL,6469.013671875,88
2024-04-12,BEL.NS,BUY,227.90342712402344,8169
2024-04-12,BPCL.NS,BUY,269.6741943359375,6904
2024-04-15,BEL.NS,SELL,226.62254333496094,8169
2024-04-15,BPCL.NS,SELL,263.1859436035156,6904
2024-04-16,BEL.NS,BUY,229.0858154296875,7974
2024-04-16,WIPRO.NS,BUY,212.34466552734375,8603
2024-04-18,BEL.NS,SELL,232.14028930664062,7974
2024-04-18,HCLTECH.NS,BUY,1374.383056640625,1341
2024-04-19,BEL.NS,BUY,225.19381713867188,4
